Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : naive
Num Clients : 60
Batch size : 32
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

EpochMetrics(epoch=179, total_rounds=280, total_fda_steps=5594, accuracy=0.9872000217437744)
EpochMetrics(epoch=180, total_rounds=281, total_fda_steps=5625, accuracy=0.987500011920929)
EpochMetrics(epoch=181, total_rounds=283, total_fda_steps=5657, accuracy=0.9873999953269958)
EpochMetrics(epoch=182, total_rounds=284, total_fda_steps=5688, accuracy=0.987500011920929)
EpochMetrics(epoch=183, total_rounds=286, total_fda_steps=5719, accuracy=0.9869999885559082)
EpochMetrics(epoch=184, total_rounds=287, total_fda_steps=5750, accuracy=0.987500011920929)
EpochMetrics(epoch=185, total_rounds=288, total_fda_steps=5782, accuracy=0.9878000020980835)
EpochMetrics(epoch=186, total_rounds=290, total_fda_steps=5813, accuracy=0.9879000186920166)
EpochMetrics(epoch=187, total_rounds=291, total_fda_steps=5844, accuracy=0.987500011920929)
EpochMetrics(epoch=188, total_rounds=293, total_fda_steps=5875, accuracy=0.9872000217437744)
EpochMetrics(epoch=189, total_rounds=294, total_fda_steps=5907, accuracy=0.9873999953269958)
EpochMetrics(epoch=190, total_rounds=295, total_fda_steps=5938, accuracy=0.9872000217437744)
EpochMetrics(epoch=191, total_rounds=297, total_fda_steps=5969, accuracy=0.9876999855041504)
EpochMetrics(epoch=192, total_rounds=298, total_fda_steps=6000, accuracy=0.9873999953269958)
EpochMetrics(epoch=193, total_rounds=300, total_fda_steps=6032, accuracy=0.9879999756813049)
EpochMetrics(epoch=194, total_rounds=301, total_fda_steps=6063, accuracy=0.9879999756813049)
EpochMetrics(epoch=195, total_rounds=303, total_fda_steps=6094, accuracy=0.9876000285148621)
EpochMetrics(epoch=196, total_rounds=304, total_fda_steps=6125, accuracy=0.9878000020980835)
EpochMetrics(epoch=197, total_rounds=305, total_fda_steps=6157, accuracy=0.9876000285148621)
EpochMetrics(epoch=198, total_rounds=306, total_fda_steps=6188, accuracy=0.9879000186920166)
EpochMetrics(epoch=199, total_rounds=308, total_fda_steps=6219, accuracy=0.9872999787330627)
EpochMetrics(epoch=200, total_rounds=309, total_fda_steps=6250, accuracy=0.9876999855041504)
EpochMetrics(epoch=201, total_rounds=311, total_fda_steps=6282, accuracy=0.9879999756813049)
EpochMetrics(epoch=202, total_rounds=312, total_fda_steps=6313, accuracy=0.988099992275238)
EpochMetrics(epoch=203, total_rounds=313, total_fda_steps=6344, accuracy=0.9878000020980835)
EpochMetrics(epoch=204, total_rounds=315, total_fda_steps=6375, accuracy=0.987500011920929)
EpochMetrics(epoch=205, total_rounds=316, total_fda_steps=6407, accuracy=0.987500011920929)
EpochMetrics(epoch=206, total_rounds=318, total_fda_steps=6438, accuracy=0.9878000020980835)
EpochMetrics(epoch=207, total_rounds=319, total_fda_steps=6469, accuracy=0.9879000186920166)
EpochMetrics(epoch=208, total_rounds=320, total_fda_steps=6500, accuracy=0.987500011920929)
EpochMetrics(epoch=209, total_rounds=322, total_fda_steps=6532, accuracy=0.9878000020980835)
EpochMetrics(epoch=210, total_rounds=323, total_fda_steps=6563, accuracy=0.9882000088691711)
EpochMetrics(epoch=211, total_rounds=324, total_fda_steps=6594, accuracy=0.9879000186920166)
EpochMetrics(epoch=212, total_rounds=325, total_fda_steps=6625, accuracy=0.9872999787330627)
EpochMetrics(epoch=213, total_rounds=327, total_fda_steps=6657, accuracy=0.9878000020980835)
EpochMetrics(epoch=214, total_rounds=328, total_fda_steps=6688, accuracy=0.987500011920929)
EpochMetrics(epoch=215, total_rounds=329, total_fda_steps=6719, accuracy=0.9876000285148621)
EpochMetrics(epoch=216, total_rounds=330, total_fda_steps=6750, accuracy=0.9879999756813049)
EpochMetrics(epoch=217, total_rounds=332, total_fda_steps=6782, accuracy=0.9879999756813049)
EpochMetrics(epoch=218, total_rounds=333, total_fda_steps=6813, accuracy=0.9878000020980835)
EpochMetrics(epoch=219, total_rounds=335, total_fda_steps=6844, accuracy=0.9876999855041504)
EpochMetrics(epoch=220, total_rounds=336, total_fda_steps=6875, accuracy=0.9883000254631042)
EpochMetrics(epoch=221, total_rounds=338, total_fda_steps=6907, accuracy=0.9876999855041504)
EpochMetrics(epoch=222, total_rounds=339, total_fda_steps=6938, accuracy=0.9878000020980835)
EpochMetrics(epoch=223, total_rounds=340, total_fda_steps=6969, accuracy=0.9879000186920166)
EpochMetrics(epoch=224, total_rounds=342, total_fda_steps=7000, accuracy=0.9879999756813049)
EpochMetrics(epoch=225, total_rounds=343, total_fda_steps=7032, accuracy=0.9882000088691711)
EpochMetrics(epoch=226, total_rounds=344, total_fda_steps=7063, accuracy=0.9878000020980835)
EpochMetrics(epoch=227, total_rounds=345, total_fda_steps=7094, accuracy=0.9879000186920166)
EpochMetrics(epoch=228, total_rounds=347, total_fda_steps=7125, accuracy=0.988099992275238)
EpochMetrics(epoch=229, total_rounds=348, total_fda_steps=7157, accuracy=0.9879999756813049)
EpochMetrics(epoch=230, total_rounds=350, total_fda_steps=7188, accuracy=0.9882000088691711)
EpochMetrics(epoch=231, total_rounds=351, total_fda_steps=7219, accuracy=0.9879999756813049)
EpochMetrics(epoch=232, total_rounds=352, total_fda_steps=7250, accuracy=0.9883000254631042)
