Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : synchronous
Num Clients : 40
Batch size : 64
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=112, total_rounds=2625, total_fda_steps=2625, accuracy=0.9865000247955322)
EpochMetrics(epoch=113, total_rounds=2649, total_fda_steps=2649, accuracy=0.986299991607666)
EpochMetrics(epoch=114, total_rounds=2672, total_fda_steps=2672, accuracy=0.9866999983787537)
EpochMetrics(epoch=115, total_rounds=2696, total_fda_steps=2696, accuracy=0.9871000051498413)
EpochMetrics(epoch=116, total_rounds=2719, total_fda_steps=2719, accuracy=0.9876000285148621)
EpochMetrics(epoch=117, total_rounds=2743, total_fda_steps=2743, accuracy=0.9873999953269958)
EpochMetrics(epoch=118, total_rounds=2766, total_fda_steps=2766, accuracy=0.9869999885559082)
EpochMetrics(epoch=119, total_rounds=2790, total_fda_steps=2790, accuracy=0.987500011920929)
EpochMetrics(epoch=120, total_rounds=2813, total_fda_steps=2813, accuracy=0.9868999719619751)
EpochMetrics(epoch=121, total_rounds=2836, total_fda_steps=2836, accuracy=0.987500011920929)
EpochMetrics(epoch=122, total_rounds=2860, total_fda_steps=2860, accuracy=0.9872000217437744)
EpochMetrics(epoch=123, total_rounds=2883, total_fda_steps=2883, accuracy=0.9879999756813049)
EpochMetrics(epoch=124, total_rounds=2907, total_fda_steps=2907, accuracy=0.9873999953269958)
EpochMetrics(epoch=125, total_rounds=2930, total_fda_steps=2930, accuracy=0.9876000285148621)
EpochMetrics(epoch=126, total_rounds=2954, total_fda_steps=2954, accuracy=0.9879000186920166)
EpochMetrics(epoch=127, total_rounds=2977, total_fda_steps=2977, accuracy=0.9868000149726868)
EpochMetrics(epoch=128, total_rounds=3000, total_fda_steps=3000, accuracy=0.9873999953269958)
EpochMetrics(epoch=129, total_rounds=3024, total_fda_steps=3024, accuracy=0.9872999787330627)
EpochMetrics(epoch=130, total_rounds=3047, total_fda_steps=3047, accuracy=0.9873999953269958)
EpochMetrics(epoch=131, total_rounds=3071, total_fda_steps=3071, accuracy=0.987500011920929)
EpochMetrics(epoch=132, total_rounds=3094, total_fda_steps=3094, accuracy=0.9876000285148621)
EpochMetrics(epoch=133, total_rounds=3118, total_fda_steps=3118, accuracy=0.9879999756813049)
EpochMetrics(epoch=134, total_rounds=3141, total_fda_steps=3141, accuracy=0.9876999855041504)
EpochMetrics(epoch=135, total_rounds=3165, total_fda_steps=3165, accuracy=0.9876000285148621)
EpochMetrics(epoch=136, total_rounds=3188, total_fda_steps=3188, accuracy=0.987500011920929)
EpochMetrics(epoch=137, total_rounds=3211, total_fda_steps=3211, accuracy=0.9876999855041504)
EpochMetrics(epoch=138, total_rounds=3235, total_fda_steps=3235, accuracy=0.9886999726295471)
EpochMetrics(epoch=139, total_rounds=3258, total_fda_steps=3258, accuracy=0.987500011920929)
EpochMetrics(epoch=140, total_rounds=3282, total_fda_steps=3282, accuracy=0.9876999855041504)
EpochMetrics(epoch=141, total_rounds=3305, total_fda_steps=3305, accuracy=0.9883999824523926)
EpochMetrics(epoch=142, total_rounds=3329, total_fda_steps=3329, accuracy=0.9879000186920166)
EpochMetrics(epoch=143, total_rounds=3352, total_fda_steps=3352, accuracy=0.9883000254631042)
EpochMetrics(epoch=144, total_rounds=3375, total_fda_steps=3375, accuracy=0.9878000020980835)
EpochMetrics(epoch=145, total_rounds=3399, total_fda_steps=3399, accuracy=0.9872999787330627)
EpochMetrics(epoch=146, total_rounds=3422, total_fda_steps=3422, accuracy=0.9878000020980835)
EpochMetrics(epoch=147, total_rounds=3446, total_fda_steps=3446, accuracy=0.9879000186920166)
EpochMetrics(epoch=148, total_rounds=3469, total_fda_steps=3469, accuracy=0.9879000186920166)
EpochMetrics(epoch=149, total_rounds=3493, total_fda_steps=3493, accuracy=0.9876999855041504)
EpochMetrics(epoch=150, total_rounds=3516, total_fda_steps=3516, accuracy=0.9876000285148621)
EpochMetrics(epoch=151, total_rounds=3540, total_fda_steps=3540, accuracy=0.9883999824523926)
EpochMetrics(epoch=152, total_rounds=3563, total_fda_steps=3563, accuracy=0.988099992275238)
EpochMetrics(epoch=153, total_rounds=3586, total_fda_steps=3586, accuracy=0.9878000020980835)
EpochMetrics(epoch=154, total_rounds=3610, total_fda_steps=3610, accuracy=0.9883999824523926)
EpochMetrics(epoch=155, total_rounds=3633, total_fda_steps=3633, accuracy=0.9878000020980835)
EpochMetrics(epoch=156, total_rounds=3657, total_fda_steps=3657, accuracy=0.9879999756813049)
EpochMetrics(epoch=157, total_rounds=3680, total_fda_steps=3680, accuracy=0.9882000088691711)
EpochMetrics(epoch=158, total_rounds=3704, total_fda_steps=3704, accuracy=0.9878000020980835)
EpochMetrics(epoch=159, total_rounds=3727, total_fda_steps=3727, accuracy=0.9882000088691711)
EpochMetrics(epoch=160, total_rounds=3750, total_fda_steps=3750, accuracy=0.9879000186920166)
EpochMetrics(epoch=161, total_rounds=3774, total_fda_steps=3774, accuracy=0.988099992275238)
EpochMetrics(epoch=162, total_rounds=3797, total_fda_steps=3797, accuracy=0.9883999824523926)
EpochMetrics(epoch=163, total_rounds=3821, total_fda_steps=3821, accuracy=0.9876999855041504)
EpochMetrics(epoch=164, total_rounds=3844, total_fda_steps=3844, accuracy=0.9890000224113464)
EpochMetrics(epoch=165, total_rounds=3868, total_fda_steps=3868, accuracy=0.9879999756813049)
EpochMetrics(epoch=166, total_rounds=3891, total_fda_steps=3891, accuracy=0.9883000254631042)
EpochMetrics(epoch=167, total_rounds=3915, total_fda_steps=3915, accuracy=0.988099992275238)
EpochMetrics(epoch=168, total_rounds=3938, total_fda_steps=3938, accuracy=0.988099992275238)
EpochMetrics(epoch=169, total_rounds=3961, total_fda_steps=3961, accuracy=0.988099992275238)
EpochMetrics(epoch=170, total_rounds=3985, total_fda_steps=3985, accuracy=0.9878000020980835)
EpochMetrics(epoch=171, total_rounds=4008, total_fda_steps=4008, accuracy=0.9879999756813049)
EpochMetrics(epoch=172, total_rounds=4032, total_fda_steps=4032, accuracy=0.9882000088691711)
