Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : naive
Num Clients : 10
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 500.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=114, total_rounds=92, total_fda_steps=17813, accuracy=0.7979999780654907, train_accuracy=0.834375)
EpochMetrics(epoch=115, total_rounds=93, total_fda_steps=17969, accuracy=0.7965999841690063, train_accuracy=0.846875)
EpochMetrics(epoch=116, total_rounds=94, total_fda_steps=18125, accuracy=0.8023999929428101, train_accuracy=0.8625)
EpochMetrics(epoch=117, total_rounds=95, total_fda_steps=18282, accuracy=0.8027999997138977, train_accuracy=0.875)
EpochMetrics(epoch=118, total_rounds=96, total_fda_steps=18438, accuracy=0.802299976348877, train_accuracy=0.859375)
EpochMetrics(epoch=119, total_rounds=97, total_fda_steps=18594, accuracy=0.8032000064849854, train_accuracy=0.86875)
EpochMetrics(epoch=120, total_rounds=98, total_fda_steps=18750, accuracy=0.8004000186920166, train_accuracy=0.865625)
EpochMetrics(epoch=121, total_rounds=99, total_fda_steps=18907, accuracy=0.8036999702453613, train_accuracy=0.9)
EpochMetrics(epoch=122, total_rounds=100, total_fda_steps=19063, accuracy=0.8014000058174133, train_accuracy=0.865625)
EpochMetrics(epoch=123, total_rounds=101, total_fda_steps=19219, accuracy=0.7968999743461609, train_accuracy=0.884375)
EpochMetrics(epoch=124, total_rounds=102, total_fda_steps=19375, accuracy=0.8055999875068665, train_accuracy=0.878125)
EpochMetrics(epoch=125, total_rounds=103, total_fda_steps=19532, accuracy=0.8070999979972839, train_accuracy=0.890625)
EpochMetrics(epoch=126, total_rounds=104, total_fda_steps=19688, accuracy=0.8025000095367432, train_accuracy=0.86875)
EpochMetrics(epoch=127, total_rounds=105, total_fda_steps=19844, accuracy=0.807200014591217, train_accuracy=0.88125)
EpochMetrics(epoch=128, total_rounds=106, total_fda_steps=20000, accuracy=0.8059999942779541, train_accuracy=0.871875)
EpochMetrics(epoch=129, total_rounds=107, total_fda_steps=20157, accuracy=0.8037999868392944, train_accuracy=0.903125)
EpochMetrics(epoch=130, total_rounds=108, total_fda_steps=20313, accuracy=0.8068000078201294, train_accuracy=0.875)
EpochMetrics(epoch=131, total_rounds=109, total_fda_steps=20469, accuracy=0.8093000054359436, train_accuracy=0.86875)
EpochMetrics(epoch=132, total_rounds=110, total_fda_steps=20625, accuracy=0.805899977684021, train_accuracy=0.840625)
EpochMetrics(epoch=133, total_rounds=111, total_fda_steps=20782, accuracy=0.8039000034332275, train_accuracy=0.859375)
EpochMetrics(epoch=134, total_rounds=112, total_fda_steps=20938, accuracy=0.8019999861717224, train_accuracy=0.86875)
EpochMetrics(epoch=135, total_rounds=113, total_fda_steps=21094, accuracy=0.8059999942779541, train_accuracy=0.83125)
EpochMetrics(epoch=136, total_rounds=114, total_fda_steps=21250, accuracy=0.8037999868392944, train_accuracy=0.825)
EpochMetrics(epoch=137, total_rounds=115, total_fda_steps=21407, accuracy=0.7989000082015991, train_accuracy=0.853125)
EpochMetrics(epoch=138, total_rounds=116, total_fda_steps=21563, accuracy=0.8059999942779541, train_accuracy=0.840625)
EpochMetrics(epoch=139, total_rounds=117, total_fda_steps=21719, accuracy=0.7989000082015991, train_accuracy=0.840625)
