Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : sketch
Num Clients : 15
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=118, total_rounds=89, total_fda_steps=12292, accuracy=0.8004999756813049, train_accuracy=0.8520833)
EpochMetrics(epoch=119, total_rounds=90, total_fda_steps=12396, accuracy=0.7968000173568726, train_accuracy=0.81875)
EpochMetrics(epoch=120, total_rounds=91, total_fda_steps=12501, accuracy=0.8026000261306763, train_accuracy=0.82916665)
EpochMetrics(epoch=121, total_rounds=92, total_fda_steps=12605, accuracy=0.8062999844551086, train_accuracy=0.84583336)
EpochMetrics(epoch=122, total_rounds=93, total_fda_steps=12709, accuracy=0.7993999719619751, train_accuracy=0.89166665)
EpochMetrics(epoch=123, total_rounds=94, total_fda_steps=12813, accuracy=0.8033000230789185, train_accuracy=0.86041665)
EpochMetrics(epoch=124, total_rounds=94, total_fda_steps=12917, accuracy=0.7980999946594238, train_accuracy=0.78333336)
EpochMetrics(epoch=125, total_rounds=95, total_fda_steps=13021, accuracy=0.7972000241279602, train_accuracy=0.85833335)
EpochMetrics(epoch=126, total_rounds=96, total_fda_steps=13126, accuracy=0.7904999852180481, train_accuracy=0.8354167)
EpochMetrics(epoch=127, total_rounds=97, total_fda_steps=13230, accuracy=0.7930999994277954, train_accuracy=0.84375)
EpochMetrics(epoch=128, total_rounds=98, total_fda_steps=13334, accuracy=0.795799970626831, train_accuracy=0.87708336)
EpochMetrics(epoch=129, total_rounds=99, total_fda_steps=13438, accuracy=0.807200014591217, train_accuracy=0.8354167)
EpochMetrics(epoch=130, total_rounds=100, total_fda_steps=13542, accuracy=0.804099977016449, train_accuracy=0.8520833)
EpochMetrics(epoch=131, total_rounds=101, total_fda_steps=13646, accuracy=0.8075000047683716, train_accuracy=0.84375)
EpochMetrics(epoch=132, total_rounds=102, total_fda_steps=13751, accuracy=0.8032000064849854, train_accuracy=0.88125)
EpochMetrics(epoch=133, total_rounds=103, total_fda_steps=13855, accuracy=0.8036999702453613, train_accuracy=0.88958335)
EpochMetrics(epoch=134, total_rounds=104, total_fda_steps=13959, accuracy=0.8050000071525574, train_accuracy=0.8625)
EpochMetrics(epoch=135, total_rounds=105, total_fda_steps=14063, accuracy=0.7965999841690063, train_accuracy=0.90625)
EpochMetrics(epoch=136, total_rounds=105, total_fda_steps=14167, accuracy=0.8004999756813049, train_accuracy=0.83958334)
EpochMetrics(epoch=137, total_rounds=106, total_fda_steps=14271, accuracy=0.8037999868392944, train_accuracy=0.81041664)
EpochMetrics(epoch=138, total_rounds=107, total_fda_steps=14376, accuracy=0.7950000166893005, train_accuracy=0.84375)
EpochMetrics(epoch=139, total_rounds=108, total_fda_steps=14480, accuracy=0.8040000200271606, train_accuracy=0.83958334)
EpochMetrics(epoch=140, total_rounds=109, total_fda_steps=14584, accuracy=0.8037999868392944, train_accuracy=0.8541667)
