Running program
Environment

slurm_localid : 0
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 0

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 5
Batch size : 32
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=61, total_rounds=7625, total_fda_steps=7625, accuracy=0.9853000044822693)
EpochMetrics(epoch=62, total_rounds=7750, total_fda_steps=7750, accuracy=0.982200026512146)
EpochMetrics(epoch=63, total_rounds=7875, total_fda_steps=7875, accuracy=0.9818999767303467)
EpochMetrics(epoch=64, total_rounds=8000, total_fda_steps=8000, accuracy=0.9847999811172485)
EpochMetrics(epoch=65, total_rounds=8125, total_fda_steps=8125, accuracy=0.9848999977111816)
EpochMetrics(epoch=66, total_rounds=8250, total_fda_steps=8250, accuracy=0.9839000105857849)
EpochMetrics(epoch=67, total_rounds=8375, total_fda_steps=8375, accuracy=0.9829999804496765)
EpochMetrics(epoch=68, total_rounds=8500, total_fda_steps=8500, accuracy=0.9840999841690063)
EpochMetrics(epoch=69, total_rounds=8625, total_fda_steps=8625, accuracy=0.9835000038146973)
EpochMetrics(epoch=70, total_rounds=8750, total_fda_steps=8750, accuracy=0.9854999780654907)
EpochMetrics(epoch=71, total_rounds=8875, total_fda_steps=8875, accuracy=0.9814000129699707)
EpochMetrics(epoch=72, total_rounds=9000, total_fda_steps=9000, accuracy=0.9840999841690063)
EpochMetrics(epoch=73, total_rounds=9125, total_fda_steps=9125, accuracy=0.983299970626831)
EpochMetrics(epoch=74, total_rounds=9250, total_fda_steps=9250, accuracy=0.983299970626831)
EpochMetrics(epoch=75, total_rounds=9375, total_fda_steps=9375, accuracy=0.9854000210762024)
EpochMetrics(epoch=76, total_rounds=9500, total_fda_steps=9500, accuracy=0.9835000038146973)
EpochMetrics(epoch=77, total_rounds=9625, total_fda_steps=9625, accuracy=0.9807000160217285)
EpochMetrics(epoch=78, total_rounds=9750, total_fda_steps=9750, accuracy=0.9847000241279602)
EpochMetrics(epoch=79, total_rounds=9875, total_fda_steps=9875, accuracy=0.984000027179718)
EpochMetrics(epoch=80, total_rounds=10000, total_fda_steps=10000, accuracy=0.9819999933242798)
EpochMetrics(epoch=81, total_rounds=10125, total_fda_steps=10125, accuracy=0.9836999773979187)
EpochMetrics(epoch=82, total_rounds=10250, total_fda_steps=10250, accuracy=0.9832000136375427)
EpochMetrics(epoch=83, total_rounds=10375, total_fda_steps=10375, accuracy=0.9847999811172485)
EpochMetrics(epoch=84, total_rounds=10500, total_fda_steps=10500, accuracy=0.9835000038146973)
EpochMetrics(epoch=85, total_rounds=10625, total_fda_steps=10625, accuracy=0.9837999939918518)
slurm_localid : 1
Running on node : 1
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 1

Test procid: 3

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 20
Batch size : 32
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=94, total_fda_steps=94, accuracy=0.46320000290870667)
EpochMetrics(epoch=2, total_rounds=188, total_fda_steps=188, accuracy=0.8903999924659729)
EpochMetrics(epoch=3, total_rounds=282, total_fda_steps=282, accuracy=0.9419999718666077)
EpochMetrics(epoch=4, total_rounds=375, total_fda_steps=375, accuracy=0.9577000141143799)
EpochMetrics(epoch=5, total_rounds=469, total_fda_steps=469, accuracy=0.9627000093460083)
EpochMetrics(epoch=6, total_rounds=563, total_fda_steps=563, accuracy=0.9711999893188477)
EpochMetrics(epoch=7, total_rounds=657, total_fda_steps=657, accuracy=0.9753999710083008)
EpochMetrics(epoch=8, total_rounds=750, total_fda_steps=750, accuracy=0.9776999950408936)
